section,metric,value,unit
electricity,baseline_total_kwh,180.55570880622525,kWh
electricity,controlled_total_kwh,168.70276911481415,kWh
electricity,controlled_minus_baseline_kwh,-11.852939691411109,kWh
electricity,absolute_difference_kwh,11.852939691411109,kWh
electricity,percentage_difference_from_baseline,-6.564699487919176,%
baseline,peak_demand_w,17258.12541489085,W
baseline,zone_temperature_c_range,"{""maximum"":23.899817669868348,""minimum"":20.632674887675066}",degC
baseline,pmv_range,"{""maximum"":0.2083948859139497,""minimum"":-1.411943817729232}",PMV
baseline,occupied_pmv_compliance_percent,96.81818181818181,%
baseline,occupied_comfort_violation_count,7,zone-samples
controlled,peak_demand_w,15566.363522595775,W
controlled,zone_temperature_c_range,"{""maximum"":25.998856281519107,""minimum"":20.00005271688738}",degC
controlled,pmv_range,"{""maximum"":0.668940270787071,""minimum"":-1.490463459667233}",PMV
controlled,occupied_pmv_compliance_percent,95.45454545454545,%
controlled,occupied_comfort_violation_count,10,zone-samples
control_actions,hourly_decision_count,24,
control_actions,real_actions_accepted,24,
control_actions,actions_rejected,0,
control_actions,corrected_action_proposals,0,
control_actions,fallback_count,0,
control_actions,successful_actuator_zone_writes,460,
control_actions,successful_actuator_timestep_writes,92,
control_actions,llm_request_count,97,
control_actions,median_llm_latency_seconds,19.457,seconds
control_actions,maximum_llm_latency_seconds,28.487,seconds
energyplus_baseline,exit_status,0,
energyplus_baseline,severe_count,0,
energyplus_baseline,fatal_count,0,
energyplus_controlled,exit_status,0,
energyplus_controlled,severe_count,0,
energyplus_controlled,fatal_count,0,
