section,evidence_label,status,metric,value,unit
phase1_deterministic,Phase 1 deterministic seven-day baseline/control comparison (not an LLM result),available,baseline_electricity_kwh,1024.2909599769273,kWh
phase1_deterministic,Phase 1 deterministic seven-day baseline/control comparison (not an LLM result),available,controlled_electricity_kwh,955.1787986041529,kWh
phase1_deterministic,Phase 1 deterministic seven-day baseline/control comparison (not an LLM result),available,absolute_energy_reduction_kwh,69.11216137277438,kWh
phase1_deterministic,Phase 1 deterministic seven-day baseline/control comparison (not an LLM result),available,percentage_energy_reduction,6.7473173222510106,%
phase1_deterministic,Phase 1 deterministic seven-day baseline/control comparison (not an LLM result),available,simulation_duration_hours,168.0,hours
phase1_deterministic,Phase 1 deterministic seven-day baseline/control comparison (not an LLM result),available,timestep_count,672,timesteps
phase1_deterministic,Phase 1 deterministic seven-day baseline/control comparison (not an LLM result),available,baseline_sensors,"{""by_zone"":{""SPACE1-1"":{""pmv_range"":{""maximum"":0.09651450755181616,""minimum"":-1.400145117359603},""zone_temperature_c_range"":{""maximum"":25.94832316661717,""minimum"":20.65692915180152}},""SPACE2-1"":{""pmv_range"":{""maximum"":1.0637164227069495,""minimum"":-1.411943817729232},""zone_temperature_c_range"":{""maximum"":29.23232846955343,""minimum"":20.6790282836573}},""SPACE3-1"":{""pmv_range"":{""maximum"":0.1239295775212693,""minimum"":-1.4072127796111078},""zone_temperature_c_range"":{""maximum"":26.008605977405306,""minimum"":20.632674887675066}},""SPACE4-1"":{""pmv_range"":{""maximum"":1.4231641610208858,""minimum"":-1.411674302297525},""zone_temperature_c_range"":{""maximum"":30.403801096850486,""minimum"":20.682276279383736}},""SPACE5-1"":{""pmv_range"":{""maximum"":-0.3437063768301049,""minimum"":-1.27352960262814},""zone_temperature_c_range"":{""maximum"":23.908641358067843,""minimum"":21.00318926358974}}},""comfort_violation_count"":24,""comfort_violation_definition"":""occupied zone sample with absolute Fanger PMV > 0.7"",""occupied_zone_samples"":1100,""pmv_range"":{""maximum"":1.4231641610208858,""minimum"":-1.411943817729232},""zone_temperature_c_range"":{""maximum"":30.403801096850486,""minimum"":20.632674887675066}}",
phase1_deterministic,Phase 1 deterministic seven-day baseline/control comparison (not an LLM result),available,controlled_sensors,"{""by_zone"":{""SPACE1-1"":{""pmv_range"":{""maximum"":0.36977271801335726,""minimum"":-1.400145117359603},""zone_temperature_c_range"":{""maximum"":25.99856951884166,""minimum"":20.65692915180152}},""SPACE2-1"":{""pmv_range"":{""maximum"":1.0637107742522303,""minimum"":-1.411943817729232},""zone_temperature_c_range"":{""maximum"":29.232466957044867,""minimum"":20.6790282836573}},""SPACE3-1"":{""pmv_range"":{""maximum"":0.37267160661067866,""minimum"":-1.4072127796111078},""zone_temperature_c_range"":{""maximum"":26.008645532102754,""minimum"":20.632674887675066}},""SPACE4-1"":{""pmv_range"":{""maximum"":1.4248047980543734,""minimum"":-1.411674302297525},""zone_temperature_c_range"":{""maximum"":30.408400917488215,""minimum"":20.682276279383736}},""SPACE5-1"":{""pmv_range"":{""maximum"":0.2117255020122049,""minimum"":-1.27352960262814},""zone_temperature_c_range"":{""maximum"":25.998301970605137,""minimum"":21.00318926358974}}},""comfort_violation_count"":28,""comfort_violation_definition"":""occupied zone sample with absolute Fanger PMV > 0.7"",""occupied_zone_samples"":1100,""pmv_range"":{""maximum"":1.4248047980543734,""minimum"":-1.411943817729232},""zone_temperature_c_range"":{""maximum"":30.408400917488215,""minimum"":20.632674887675066}}",
phase1_deterministic,Phase 1 deterministic seven-day baseline/control comparison (not an LLM result),available,control_actions,"{""actions_accepted"":220,""actions_rejected"":0,""actuator_write_success_count"":1100,""actuator_write_timestep_success_count"":220,""correction_count"":0,""fallback_count"":0,""mcp_tool_call_count"":0,""mcp_tools_called"":[]}",
live_scripted_provider,"Live EnergyPlus + ScriptedProvider smoke (deterministic, not an LLM result)",available,facility_electricity_kwh,1.9,kWh
